City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,cockburn town,21.4612,-71.1419,23.98,53,40,6.17,TC,1711837483
131,puerto san jose,13.9256,-90.8244,32.03,55,40,5.14,GT,1711837765
132,ancud,-41.8697,-73.8203,11.8,66,89,3.67,CL,1711837765
133,fada,9.5667,8.3,26.34,55,45,0.86,NG,1711837765
134,nova sintra,14.8667,-24.7167,19.67,71,9,5.39,CV,1711837765
135,rundu,-17.9333,19.7667,18.74,95,86,2.22,NA,1711837765
136,sungailiat,-1.85,106.1333,26.69,83,99,0.32,ID,1711837766
137,college,64.8569,-147.8028,7.18,44,75,3.6,US,1711837766
138,labytnangi,66.6572,66.4183,-19.35,87,30,3.89,RU,1711837766
139,tiquipaya,-17.3382,-66.2189,21.4,48,75,3.09,BO,1711837766
140,soio,-6.1349,12.3689,27.8,87,88,2.23,AO,1711837766
141,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,88,75,4.47,RU,1711837766
142,villa la angostura,-40.7617,-71.6463,8.34,69,76,3.21,AR,1711837766
143,klyuchi,52.2667,79.1667,-0.76,87,21,4.96,RU,1711837766
144,mount isa,-20.7333,139.5,24.87,88,100,2.06,AU,1711837767
145,xinyuan,37.3,99.0,-1.72,38,81,0.93,CN,1711837767
146,jaguarari,-10.2639,-40.1958,25.26,65,100,3.14,BR,1711837767
147,sturlic,45.0639,15.7781,9.51,62,83,2.07,BA,1711837767
148,shanklin,50.6261,-1.1785,8.57,89,99,3.58,GB,1711837767
149,eyl,7.9803,49.8164,26.99,69,45,4.5,SO,1711837767
150,armacao de buzios,-22.7469,-41.8817,25.03,87,10,6.83,BR,1711837768
151,tadine,-21.55,167.8833,24.73,68,74,5.5,NC,1711837768
152,xiongzhou,25.1167,114.3,21.91,95,100,1.72,CN,1711837768
153,heunghae,36.1125,129.3522,8.36,74,23,1.58,KR,1711837768
154,newman,37.3138,-121.0208,18.36,54,33,2.68,US,1711837769
155,laguna,38.421,-121.4238,17.64,61,75,5.14,US,1711837769
156,tomatlan,19.9333,-105.25,30.39,35,57,3.84,MX,1711837769
157,port lincoln,-34.7333,135.8667,17.03,78,0,0.81,AU,1711837769
158,tofol,5.3248,163.0078,28.26,80,100,9.69,FM,1711837769
159,igarka,67.4667,86.5833,-5.21,97,100,2.53,RU,1711837769
160,karacabey,40.2152,28.4038,11.21,71,2,1.03,TR,1711837770
161,curuca,-0.7289,-47.8481,25.04,92,100,0.73,BR,1711837770
162,nizhniy kuranakh,58.8353,125.4869,-21.03,99,100,1.0,RU,1711837770
163,north bend,43.4065,-124.2243,19.58,72,0,11.32,US,1711837605
164,niafunke,15.9322,-3.9906,34.61,15,100,4.34,ML,1711837770
165,labasa,-16.4167,179.3833,26.15,87,100,2.97,FJ,1711837770
166,bondo,3.8146,23.6866,23.58,79,95,1.96,CD,1711837771
167,xilin hot,43.9667,116.0333,-4.63,68,100,1.0,CN,1711837771
168,benguela,-12.5763,13.4055,26.67,87,100,2.5,AO,1711837771
169,hadibu,12.65,54.0333,26.47,71,17,3.67,YE,1711837771
170,vilyuysk,63.7553,121.6247,-27.78,100,68,1.79,RU,1711837771
171,san antonio de pale,-1.4014,5.6325,28.9,80,59,5.73,GQ,1711837771
172,urucui,-7.2294,-44.5561,26.54,86,83,1.54,BR,1711837771
173,gua musang,4.8823,101.9644,22.28,98,77,0.39,MY,1711837772
174,nizhnesortymskiy,62.4397,71.7603,-12.97,92,39,6.98,RU,1711837772
175,caleta de carquin,-11.0925,-77.6267,24.29,79,100,5.02,PE,1711837772
176,konarka,19.9,86.1167,26.2,79,27,7.58,IN,1711837772
177,avarua,-21.2078,-159.775,31.03,70,20,7.2,CK,1711837772
178,valparaiso,-33.0393,-71.6273,29.52,53,0,6.17,CL,1711837761
179,judenburg,47.1667,14.6667,6.71,90,93,1.49,AT,1711837773
180,lata,40.1629,-8.3327,8.37,96,80,2.02,PT,1711837773
181,pala,9.3642,14.9046,33.11,13,35,1.35,TD,1711837773
182,puerto ayacucho,5.6639,-67.6236,34.73,35,92,1.3,VE,1711837773
183,shetpe,44.1667,52.1167,9.96,46,100,3.2,KZ,1711837773
